General Information;;;;;;Priority and Status;;Tester;;Additional Information;;Development System;;;Test System via. Transport + Refresh;;;;Test System via. Transport;S4;;ERP;;
07.5;2603;Account Group G/L - Scheduled LSA Subscriber;Change;;2-Step;Medium;open;Gerd;;;Intel;;;;;;;;;;;;;
07.6;2603;Account Group GL  ;Language Test;DE/EN;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
07.7;2603;Account Group GL  ;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
07.7;;Account Group ;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
08.1;2603;Account Group Vendor;Change;;3-Step;Medium;in progress;Maxi;;;Intel;done  ;done  ;done  ;;;;;;;;;;
08.2;2603;Account Group Vendor;Create;;3-Step;Medium;in progress;Maxi;;;"Intel;  Texts not recieved in ID1 Rec. Using DT upon Initial Create";done  ;done  ;slight error;;;;;;;;;;
08.3;2603;Account Group Vendor ;File Download / Upload;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
08.4;2603;Account Group Vendor ;Data Export / Import;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
08.5;2603;Account Group Vendor  ;Language Test;DE/EN;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
08.6;2603;Account Group Vendor  ;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
08.7;2603;Account Group Vendor;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
09.1;2603;Account Group Customer;Change;;2-Step;Medium;error;Sabine;;see Open Topics;Intel;done  ;done  ;done  ;done  ;error;open;open;retest;retest;retest;retest;retest;
09.2;2603;Account Group Customer;Create;;2-Step;Medium;error;Sabine;;see Open Topics;Intel;done  ;done  ;done  ;done  ;error;open;open;retest;retest;retest;retest;retest;
09.3;2603;Account Group Customer ;File Download / Upload;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
09.4;2603;Account Group Customer ;Data Export / Import;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
09.5;2603;Account Group Customer  ;Language Test;DE/EN;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
09.6;2603;Account Group Customer  ;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
09.7;2603;Account Group Customer  ;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
10.1;2603;Product Hierarchy;Change;;3-Step;Very High;development;Gerd;;;Exxon/Intel;;;;;;;;;;;;;
10.10;2603;Product Hierarchy;Delete Node;;General;Very High;development;Gerd;;;Exxon/Intel;;;;;;;;;;;;;
10.11;2603;Product Hierarchy;Move Node;;General;Very High;development;Gerd;;1113;Exxon/Intel;;;;;;;;;;;;;
10.12;2603;Product Hierarchy;Move Node with Subtree;;General;Very High;development;Gerd;;;Exxon/Intel;;;;;;;;;;;;;
10.13.;2603;Product Hierarchy;ForeignKey Consistency;;General;Very High;development;Gerd;;;Exxon/Intel;;;;;;;;;;;;;
10.2;2603;Product Hierarchy;Create;;3-Step;Very High;development;Gerd;;;Exxon/Intel;;;;;;;;;;;;;
10.3;2603;Product Hierarchy ;File Download / Upload;;General;Very High;development;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
10.4;2603;Product Hierarchy  ;Language Test;DE/EN;General;High;development;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
10.5;2603;Product Hierarchy  ;Language Test;FR;General;High;development;Herve;;;Exxon/Intel;;;;;;;;;;;;;
10.6;2603;Product Hierarchy ;Language Test;ES;General;Medium;development;Herve;;;Exxon/Intel;;;;;;;;;;;;;
10.7;2603;Product Hierarchy;Remove Subnode;;General;Very High;development;Gerd;;;Exxon/Intel;;;;;;;;;;;;;
10.8;2603;Product Hierarchy;Remove Node;;General;Very High;development;Gerd;;1126;Exxon/Intel;;;;;;;;;;;;;
10.9;2603;Product Hierarchy ;Delete Subnode;;General;Very High;development;Gerd;;;Exxon/Intel;;;;;;;;;;;;;
11.1;2603;Company Code;Change;;2-Step;Medium;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
11.2;2603;Company Code;Create;;2-Step;Medium;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
11.3;2603;Company Code ;File Download / Upload;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
11.4;2603;Company Code ;Data Export / Import;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
11.5;2603;Company Code  ;Language Test;DE/EN;General;Low;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
11.6;2603;Company Code  ;Language Test;EN/DE;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
11.7;2603;Company Code ;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
11.8;2603;Company Code;Posting Period assignment;;General;Very High;open;Sabine;;;Exxon/Intel;;;;;;;;;;;;;
12.1;2603;Plant;Change;;3-Step;High;error;Gerd;;see Open Topics;Exxon/Intel;error;open;open;done  ;error;error;retest;retest;retest;retest;retest;retest;
12.2;2603;Plant;Create;;3-Step;High;error;Gerd;;see Open Topics;Exxon/Intel;error;open;open;done  ;error;error;retest;retest;retest;retest;retest;retest;
12.3;2603;Plant ;File Download / Upload;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
12.4;2603;Plant ;Data Export / Import;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
12.6;2603;Plant  ;Language Test;DE/EN;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
12.7;2603;Plant  ;Language Test;FR/ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
12.8;2603;Plant ;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
13.1;2603;Payment Term Version 1;Change;;1-Step;Medium;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
13.2;2603;Payment Term Version 1;Create;;1-Step;Medium;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
13.3;2603;Payment Term Version 1;File Download / Upload;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
